time,depth,latitude,longitude,so,thetao
04/01/2024 01:00,0.494025,-6.0833335,105.250015,33.247128,29.041573
04/01/2024 02:00,0.494025,-6.0833335,105.250015,33.260605,29.057703
04/01/2024 03:00,0.494025,-6.0833335,105.250015,33.259438,29.08205
04/01/2024 04:00,0.494025,-6.0833335,105.250015,33.255306,29.102652
04/01/2024 05:00,0.494025,-6.0833335,105.250015,33.2541,29.180141
04/01/2024 06:00,0.494025,-6.0833335,105.250015,33.247143,29.32473
04/01/2024 07:00,0.494025,-6.0833335,105.250015,33.23452,29.4016
04/01/2024 08:00,0.494025,-6.0833335,105.250015,33.19443,29.408262
04/01/2024 09:00,0.494025,-6.0833335,105.250015,33.11709,29.378319
04/01/2024 10:00,0.494025,-6.0833335,105.250015,33.048767,29.30282
04/01/2024 11:00,0.494025,-6.0833335,105.250015,32.994854,29.221678
04/01/2024 12:00,0.494025,-6.0833335,105.250015,32.996002,29.219475
04/01/2024 13:00,0.494025,-6.0833335,105.250015,32.981625,29.192774
04/01/2024 14:00,0.494025,-6.0833335,105.250015,32.981052,29.173475
04/01/2024 15:00,0.494025,-6.0833335,105.250015,32.981747,29.155107
04/01/2024 16:00,0.494025,-6.0833335,105.250015,32.989635,29.135387
04/01/2024 17:00,0.494025,-6.0833335,105.250015,32.998108,29.118464
04/01/2024 18:00,0.494025,-6.0833335,105.250015,33.006363,29.089212
04/01/2024 19:00,0.494025,-6.0833335,105.250015,33.020775,29.060978
04/01/2024 20:00,0.494025,-6.0833335,105.250015,33.0333,29.037367
04/01/2024 21:00,0.494025,-6.0833335,105.250015,33.04623,29.016106
04/01/2024 22:00,0.494025,-6.0833335,105.250015,33.05906,28.992563
04/01/2024 23:00,0.494025,-6.0833335,105.250015,33.072483,28.968508
05/01/2024 00:00,0.494025,-6.0833335,105.250015,33.089157,28.95801
05/01/2024 01:00,0.494025,-6.0833335,105.250015,33.114895,28.969553
05/01/2024 02:00,0.494025,-6.0833335,105.250015,33.14614,29.00885
